instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Month,Weekday_Name,Season_Name,Weather_Condition,is_weekend,Day_Type
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,January,Saturday,Spring,Mist or Cloudy,1,Weekend
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,January,Saturday,Spring,Clear or Partly Cloudy,1,Weekend
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,January,Saturday,Spring,Mist or Cloudy,1,Weekend
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,January,Saturday,Spring,Mist or Cloudy,1,Weekend
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,January,Saturday,Spring,Mist or Cloudy,1,Weekend
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,January,Saturday,Spring,Mist or Cloudy,1,Weekend
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,January,Saturday,Spring,Mist or Cloudy,1,Weekend
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,January,Saturday,Spring,Light Snow or Light Rain,1,Weekend
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,January,Saturday,Spring,Light Snow or Light Rain,1,Weekend
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,January,Saturday,Spring,Mist or Cloudy,1,Weekend
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,January,Saturday,Spring,Mist or Cloudy,1,Weekend
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,January,Saturday,Spring,Mist or Cloudy,1,Weekend
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,January,Saturday,Spring,Mist or Cloudy,1,Weekend
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,January,Sunday,Spring,Mist or Cloudy,1,Weekend
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,January,Sunday,Spring,Mist or Cloudy,1,Weekend
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,January,Sunday,Spring,Mist or Cloudy,1,Weekend
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,January,Sunday,Spring,Mist or Cloudy,1,Weekend
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,January,Sunday,Spring,Mist or Cloudy,1,Weekend
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,January,Sunday,Spring,Light Snow or Light Rain,1,Weekend
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,January,Sunday,Spring,Mist or Cloudy,1,Weekend
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,January,Sunday,Spring,Light Snow or Light Rain,1,Weekend
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,January,Sunday,Spring,Mist or Cloudy,1,Weekend
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,January,Sunday,Spring,Mist or Cloudy,1,Weekend
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,January,Sunday,Spring,Mist or Cloudy,1,Weekend
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,January,Sunday,Spring,Mist or Cloudy,1,Weekend
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,January,Sunday,Spring,Mist or Cloudy,1,Weekend
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,January,Sunday,Spring,Light Snow or Light Rain,1,Weekend
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,January,Sunday,Spring,Light Snow or Light Rain,1,Weekend
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,January,Sunday,Spring,Light Snow or Light Rain,1,Weekend
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,January,Sunday,Spring,Clear or Partly Cloudy,1,Weekend
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,January,Sunday,Spring,Mist or Cloudy,1,Weekend
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,January,Sunday,Spring,Clear or Partly Cloudy,1,Weekend
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,January,Sunday,Spring,Clear or Partly Cloudy,1,Weekend
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,January,Sunday,Spring,Clear or Partly Cloudy,1,Weekend
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,January,Sunday,Spring,Clear or Partly Cloudy,1,Weekend
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,January,Sunday,Spring,Clear or Partly Cloudy,1,Weekend
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,January,Monday,Spring,Clear or Partly Cloudy,0,Weekday
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,January,Tuesday,Spring,Mist or Cloudy,0,Weekday
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,January,Tuesday,Spring,Clear or Partly Cloudy,0,Weekday
